,INT_DATE,INT_START,SUBSTRATUM,STRATUM,COUNTRY,ID,RESPAGE,RESPSEX,RESPEMP,RESPPOB,RESPMAR,TRUCRTS,TRUPARL,TRUEXEC,TRUPRES,TRUHLTH,TRUNGOS,TRUMEDI,TRULOCG,TRURELI,TRUOMB,TRUSTEU,TRUSTUN,Region_Code,NO<sub>2,SO<sub>2,PM2.5,PM10,O<sub>3,CO,NO<sub>2_lag1,SO<sub>2_lag1,PM2.5_lag1,PM10_lag1,O<sub>3_lag1,CO_lag1,NO<sub>2_lag2,SO<sub>2_lag2,PM2.5_lag2,PM10_lag2,O<sub>3_lag2,CO_lag2,NO<sub>2_lag3,SO<sub>2_lag3,PM2.5_lag3,PM10_lag3,O<sub>3_lag3,CO_lag3,NO<sub>2_lag4,SO<sub>2_lag4,PM2.5_lag4,PM10_lag4,O<sub>3_lag4,CO_lag4,NO<sub>2_lag5,SO<sub>2_lag5,PM2.5_lag5,PM10_lag5,O<sub>3_lag5,CO_lag5,row_id,date,hour,NO2_hour,SO2_hour,PM2.5_hour,PM10_hour,O3_hour,CO_hour,PC1_ProGeorgia,PC2_ProWest,TrustScore
532,2019-10-24,14,1,1,3,40308505,20,1,0,3,1,3,3,2,3,4,3,3,3,4,4,4,3,1,23.83333333333333,9.715,25.78,56.655,61.16333333333333,0.8166666666666668,32.120000000000005,11.556666666666668,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333,22.680000000000003,10.15,29.322000000000003,59.752,65.47333333333334,0.8866666666666667,28.47666666666667,10.28,30.36,65.0325,64.23333333333333,1.2566666666666666,532,2019-10-24,14.0,26.380000000000003,10.1625,32.114,64.572,32.3025,0.5533333333333333,0.9050435755453051,0.2585541555072291,0.7702166347186657
533,2019-10-24,15,1,1,3,80505113,42,2,0,3,2,1,1,2,1,1,2,3,1,5,3,5,3,1,23.83333333333333,9.715,25.78,56.655,61.16333333333333,0.8166666666666668,32.120000000000005,11.556666666666668,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333,22.680000000000003,10.15,29.322000000000003,59.752,65.47333333333334,0.8866666666666667,28.47666666666667,10.28,30.36,65.0325,64.23333333333333,1.2566666666666666,533,2019-10-24,15.0,20.7675,8.817499999999999,25.444,56.084,38.0025,0.5266666666666667,-1.205280857014065,0.8271902427298364,-1.025726706054865
537,2019-10-24,15,1,1,3,70400815,63,2,0,1,8,2,1,1,1,3,3,3,1,4,3,3,3,1,23.83333333333333,9.715,25.78,56.655,61.16333333333333,0.8166666666666668,32.120000000000005,11.556666666666668,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333,22.680000000000003,10.15,29.322000000000003,59.752,65.47333333333334,0.8866666666666667,28.47666666666667,10.28,30.36,65.0325,64.23333333333333,1.2566666666666666,537,2019-10-24,15.0,20.7675,8.817499999999999,25.444,56.084,38.0025,0.5266666666666667,-1.1204659223990439,0.7239946141217305,-0.9535468958466045
540,2019-10-24,15,1,1,3,20201609,72,2,0,3,2,2,3,4,4,4,3,4,4,4,3,3,4,1,23.83333333333333,9.715,25.78,56.655,61.16333333333333,0.8166666666666668,32.120000000000005,11.556666666666668,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333,22.680000000000003,10.15,29.322000000000003,59.752,65.47333333333334,0.8866666666666667,28.47666666666667,10.28,30.36,65.0325,64.23333333333333,1.2566666666666666,540,2019-10-24,15.0,20.7675,8.817499999999999,25.444,56.084,38.0025,0.5266666666666667,1.4829841841184135,-0.26568276245758987,1.2620597709281383
545,2019-10-24,16,1,1,3,80505123,71,2,0,3,8,2,1,1,1,3,2,4,2,5,1,3,4,1,23.83333333333333,9.715,25.78,56.655,61.16333333333333,0.8166666666666668,32.120000000000005,11.556666666666668,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333,22.680000000000003,10.15,29.322000000000003,59.752,65.47333333333334,0.8866666666666667,28.47666666666667,10.28,30.36,65.0325,64.23333333333333,1.2566666666666666,545,2019-10-24,16.0,25.1225,8.755,22.41,49.584,43.175,0.51,-0.997350330875897,0.20471757410534924,-0.8487721875932235
546,2019-10-24,16,1,1,3,70400814,31,1,1,1,2,2,3,4,3,5,3,4,5,5,4,4,3,1,23.83333333333333,9.715,25.78,56.655,61.16333333333333,0.8166666666666668,32.120000000000005,11.556666666666668,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333,22.680000000000003,10.15,29.322000000000003,59.752,65.47333333333334,0.8866666666666667,28.47666666666667,10.28,30.36,65.0325,64.23333333333333,1.2566666666666666,546,2019-10-24,16.0,25.1225,8.755,22.41,49.584,43.175,0.51,1.9024564329342764,-0.18351078449535574,1.6190420340707286
549,2019-10-24,17,1,1,3,80505125,24,2,1,4,2,3,4,1,3,3,3,4,1,4,3,3,3,1,23.83333333333333,9.715,25.78,56.655,61.16333333333333,0.8166666666666668,32.120000000000005,11.556666666666668,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333,22.680000000000003,10.15,29.322000000000003,59.752,65.47333333333334,0.8866666666666667,28.47666666666667,10.28,30.36,65.0325,64.23333333333333,1.2566666666666666,549,2019-10-24,17.0,22.2625,8.775,22.722,51.456,49.0325,0.4133333333333333,0.1876809172598287,0.32261495103634974,0.15972155197685453
550,2019-10-24,17,1,1,3,10101720,78,2,0,1,8,3,3,3,4,4,2,3,3,5,4,3,4,1,23.83333333333333,9.715,25.78,56.655,61.16333333333333,0.8166666666666668,32.120000000000005,11.556666666666668,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333,22.680000000000003,10.15,29.322000000000003,59.752,65.47333333333334,0.8866666666666667,28.47666666666667,10.28,30.36,65.0325,64.23333333333333,1.2566666666666666,550,2019-10-24,17.0,22.2625,8.775,22.722,51.456,49.0325,0.4133333333333333,1.2827182815481224,-0.47277203453666455,1.091628055047885
551,2019-10-24,17,9,2,3,707907902,41,1,1,1,2,2,2,2,2,4,3,3,3,5,3,2,3,9,37.88,0.8500000000000001,35.52,74.21000000000001,44.16,0.24,39.45,0.945,37.335,78.17,43.43,0.2,36.9,0.41,32.725,64.855,43.99,0.61,33.87,1.16,41.325,73.92999999999999,33.26,0.38,38.08,2.105,40.875,80.35,42.34,0.36,51.57,3.065,37.575,79.785,43.19,0.22,551,2019-10-24,17.0,28.78,1.285,20.34,43.525,20.03,0.06,0.018556850841158268,-0.24820782015555648,0.01579238347417856
553,2019-10-25,12,1,1,3,30204607,31,2,1,3,2,3,3,3,3,3,2,3,4,4,4,5,4,1,26.65333333333333,9.845,25.214,59.128,58.47,0.81,23.83333333333333,9.715,25.78,56.655,61.16333333333333,0.8166666666666668,32.120000000000005,11.556666666666668,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333,22.680000000000003,10.15,29.322000000000003,59.752,65.47333333333334,0.8866666666666667,553,2019-10-25,12.0,22.887500000000003,9.75,23.428,56.076,26.1525,0.5933333333333334,1.326621888265953,0.21191247509770242,1.1289912153773147
