,Unnamed: 0,INT_DATE,STRATUM,COUNTRY,ID,AGE,RESPSEX,RESEMPL,RESPPOB,RESPMAR,TRUCRTS,TRUPARL,TRUEXEC,TRUPRES,hour,NO2,SO2,PM2.5,PM10,O3,CO,SO2_Daily,PM2.5_Daily,PM10_Daily,O3_Daily,CO_Daily,PC1
31,31,2017-09-23,1,3,2110039004,66,2,0,3,5,-1,2,3,3,16,42.5,20.33333333333333,22.33333333333333,60.333333333333336,47.065,0.5866666666666667,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,
32,32,2017-09-23,1,3,2010013004,62,2,1,1,2,2,2,3,2,16,42.5,20.33333333333333,22.33333333333333,60.333333333333336,47.065,0.5866666666666667,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,-0.49321070009489054
33,33,2017-09-23,1,3,1306062009,33,2,-3,1,4,4,-1,4,4,16,42.5,20.33333333333333,22.33333333333333,60.333333333333336,47.065,0.5866666666666667,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,
34,34,2017-09-23,1,3,2210080004,56,2,0,3,2,3,3,5,5,16,42.5,20.33333333333333,22.33333333333333,60.333333333333336,47.065,0.5866666666666667,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,2.550745214142094
35,35,2017-09-23,1,3,302038015,38,2,1,3,2,2,2,2,4,16,42.5,20.33333333333333,22.33333333333333,60.333333333333336,47.065,0.5866666666666667,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,-0.3707112978197104
36,36,2017-09-23,1,3,1005030014,70,2,0,3,4,1,1,1,1,17,36.0,25.666666666666668,22.0,56.66666666666666,50.63,0.6,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,-2.882183913588918
37,37,2017-09-23,1,3,1006106017,34,2,0,3,6,1,1,2,3,17,36.0,25.666666666666668,22.0,56.66666666666666,50.63,0.6,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,-1.6947179143781848
38,38,2017-09-23,1,3,2210080005,61,2,1,3,1,1,2,1,4,17,36.0,25.666666666666668,22.0,56.66666666666666,50.63,0.6,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,-1.364677794447404
39,39,2017-09-23,1,3,2010013005,28,2,1,3,8,2,3,3,3,17,36.0,25.666666666666668,22.0,56.66666666666666,50.63,0.6,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,0.3693127183036672
40,40,2017-09-23,1,3,2110039005,51,2,0,1,8,1,-1,1,1,17,36.0,25.666666666666668,22.0,56.66666666666666,50.63,0.6,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,
41,41,2017-09-23,1,3,302038017,70,1,0,2,2,3,3,3,3,17,36.0,25.666666666666668,22.0,56.66666666666666,50.63,0.6,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,0.8307959164635839
42,42,2017-09-23,1,3,1006106019,50,2,1,3,2,3,3,3,5,17,36.0,25.666666666666668,22.0,56.66666666666666,50.63,0.6,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,1.4857786172065404
43,43,2017-09-23,1,3,2110039006,29,2,0,3,2,5,4,3,3,18,46.0,19.0,24.0,65.66666666666667,54.375,0.59,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,2.2887943808104967
44,44,2017-09-23,1,3,1306062010,54,2,0,3,2,3,3,3,5,18,46.0,19.0,24.0,65.66666666666667,54.375,0.59,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,1.4857786172065404
45,45,2017-09-23,1,3,2010013007,37,2,0,3,2,4,4,4,4,18,46.0,19.0,24.0,65.66666666666667,54.375,0.59,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,2.6872858314898345
46,46,2017-09-23,1,3,2110039008,20,1,0,3,1,3,4,4,4,18,46.0,19.0,24.0,65.66666666666667,54.375,0.59,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,2.225802633329918
47,47,2017-09-23,1,3,1006106021,58,2,0,1,4,4,4,4,4,18,46.0,19.0,24.0,65.66666666666667,54.375,0.59,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,2.6872858314898345
48,48,2017-09-23,1,3,1709018001,32,2,1,3,7,2,1,1,1,19,55.5,20.666666666666668,23.33333333333333,66.33333333333333,57.935,0.56,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,-2.4207007154290014
49,49,2017-09-23,1,3,2110039001,33,1,1,3,2,4,3,3,3,19,55.5,20.666666666666668,23.33333333333333,66.33333333333333,57.935,0.56,18.136666666666667,25.08,65.10333333333334,62.685,0.8133333333333335,1.2922791146235009
50,50,2017-09-24,1,3,2110039009,39,2,0,3,5,2,2,2,3,11,25.0,18.666666666666668,17.333333333333332,57.66666666666666,34.94,0.45,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-0.6982026481911888
51,51,2017-09-24,1,3,2010023009,52,1,1,2,4,4,4,4,4,11,25.0,18.666666666666668,17.333333333333332,57.66666666666666,34.94,0.45,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,2.6872858314898345
52,52,2017-09-24,1,3,1106078001,85,1,0,3,2,4,2,2,4,11,25.0,18.666666666666668,17.333333333333332,57.66666666666666,34.94,0.45,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.5522550985001232
53,53,2017-09-24,1,3,2110059008,27,1,1,2,3,3,3,3,3,12,25.5,19.666666666666668,18.666666666666668,72.0,40.565,0.43,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.8307959164635839
54,54,2017-09-24,1,3,2110039011,34,1,1,4,3,3,1,1,3,12,25.5,19.666666666666668,18.666666666666668,72.0,40.565,0.43,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-1.3042348165261277
