,INT_DATE,INT_START,SUBSTRATUM,STRATUM,COUNTRY,ID,RESPAGE,RESPSEX,RESPEMP,RESPPOB,RESPMAR,TRUCRTS,TRUPARL,TRUEXEC,TRUPRES,TRUHLTH,TRUNGOS,TRUMEDI,TRULOCG,TRURELI,TRUOMB,TRUSTEU,TRUSTUN,Region_Code,NO<sub>2,SO<sub>2,PM2.5,PM10,O<sub>3,CO,NO<sub>2_lag1,SO<sub>2_lag1,PM2.5_lag1,PM10_lag1,O<sub>3_lag1,CO_lag1,NO<sub>2_lag2,SO<sub>2_lag2,PM2.5_lag2,PM10_lag2,O<sub>3_lag2,CO_lag2,NO<sub>2_lag3,SO<sub>2_lag3,PM2.5_lag3,PM10_lag3,O<sub>3_lag3,CO_lag3,NO<sub>2_lag4,SO<sub>2_lag4,PM2.5_lag4,PM10_lag4,O<sub>3_lag4,CO_lag4,NO<sub>2_lag5,SO<sub>2_lag5,PM2.5_lag5,PM10_lag5,O<sub>3_lag5,CO_lag5
583,2019-10-26,15,1,1,3,180909321,69,2,1,1,1,-1,-1,-1,-1,4,-1,3,-1,-1,-1,-1,-1,1,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333
584,2019-10-26,15,1,1,3,140703709,60,2,1,2,8,-1,1,2,2,2,4,4,1,5,2,-1,4,1,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333
585,2019-10-26,15,1,1,3,150802504,65,2,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333
586,2019-10-26,15,1,1,3,180909322,66,2,0,2,6,2,1,2,2,4,4,4,2,5,4,3,4,1,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333
587,2019-10-26,15,1,1,3,170902514,18,2,0,2,-1,2,2,2,1,4,4,1,2,4,3,4,4,1,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333
588,2019-10-26,16,1,1,3,150802506,30,2,0,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333
589,2019-10-26,16,1,1,3,201002115,23,2,0,2,2,2,2,2,2,4,2,2,2,4,4,2,-1,1,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333
590,2019-10-26,17,1,1,3,170902524,59,2,0,2,8,1,2,1,2,1,3,3,3,4,2,5,4,1,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333
591,2019-10-26,17,1,1,3,190906108,29,2,1,2,1,3,-1,-1,-1,3,3,3,-1,4,-1,-1,-1,1,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333
592,2019-10-26,17,1,1,3,201002119,61,2,0,2,2,3,3,3,3,3,3,3,3,5,3,-1,-1,1,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333
