"INT_DATE","INT_START","SUBSTRATUM","STRATUM","COUNTRY","ID","RESPAGE","RESPSEX","RESPEMP","RESPPOB","RESPMAR","TRUCRTS","TRUPARL","TRUEXEC    ","TRUPRES","TRUHLTH","TRUNGOS","TRUMEDI","TRULOCG","TRURELI","TRUOMB","TRUSTEU","TRUSTUN"
2019-10-12,1960-01-01 13:00:00,2,3,3,403301903,32,1,1,1,1,1,1,1,1,4,3,2,1,5,2,2,4
2019-10-12,1960-01-01 13:00:00,3,3,3,584301011,79,2,0,3,8,1,1,1,1,4,1,2,4,4,4,-1,1
2019-10-12,1960-01-01 13:01:00,4,3,3,453900210,28,1,0,1,1,3,2,3,3,4,3,3,3,3,3,4,4
2019-10-12,1960-01-01 13:11:00,6,2,3,413201709,21,2,0,1,1,3,1,2,2,2,3,3,3,5,2,3,3
2019-10-12,1960-01-01 13:18:00,1,1,3,211003725,51,1,0,1,4,1,5,4,2,5,4,4,4,5,5,5,4
2019-10-12,1960-01-01 13:21:00,4,3,3,322603314,58,2,0,2,4,2,3,4,2,3,2,3,4,4,3,2,-1
2019-10-12,1960-01-01 13:22:00,9,2,3,687909809,30,2,0,2,-3,3,2,2,1,4,-1,2,2,4,4,3,-1
2019-10-12,1960-01-01 13:26:00,4,3,3,453900213,74,2,0,2,8,3,3,3,4,3,3,3,3,3,3,3,3
2019-10-12,1960-01-01 13:27:00,1,1,3,20201403,19,1,0,3,1,4,2,2,1,4,4,4,4,5,3,5,3
2019-10-12,1960-01-01 13:32:00,3,3,3,584600314,27,2,1,2,2,3,3,3,2,3,3,2,4,4,3,3,3
2019-10-12,1960-01-01 13:33:00,2,3,3,393002106,59,2,1,3,2,2,2,2,-1,4,3,3,2,4,-1,-1,2
2019-10-12,1960-01-01 13:35:00,3,3,3,666704308,20,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3
2019-10-12,1960-01-01 13:36:00,3,3,3,584600313,65,2,1,2,2,4,2,4,2,3,4,3,4,4,3,4,2
