"INT_DATE","INT_START","STRATUM","COUNTRY","ID","AGE","RESPSEX","RESEMPL","RESPPOB","RESPMAR","TRUCRTS","TRUPARL","TRUEXEC","TRUPRES"
2017-09-26,1960-01-01 16:20:00,1,3,1909067004,63,2,1,1,1,3,3,3,4
2017-09-26,1960-01-01 16:28:00,1,3,1508025015,78,1,0,1,2,1,1,1,1
2017-09-26,1960-01-01 16:34:00,1,3,2010023020,77,1,1,1,2,3,3,3,4
2017-09-26,1960-01-01 16:38:00,1,3,1709018012,27,2,0,3,2,3,2,2,2
2017-09-26,1960-01-01 16:41:00,1,3,1306067022,23,2,1,2,2,4,4,4,2
2017-09-26,1960-01-01 16:42:00,1,3,1106036024,38,1,1,1,1,3,3,3,1
2017-09-26,1960-01-01 16:46:00,1,3,403025015,40,2,0,3,4,4,4,4,4
2017-09-26,1960-01-01 16:50:00,1,3,2010013023,35,2,0,3,4,4,3,3,4
2017-09-26,1960-01-01 16:51:00,1,3,1809033007,52,1,1,1,4,3,3,3,3
2017-09-26,1960-01-01 16:57:00,1,3,1809039018,25,2,0,1,4,3,1,1,1
2017-09-26,1960-01-01 17:12:00,1,3,2010023021,62,1,1,1,2,1,2,2,4
2017-09-26,1960-01-01 17:18:00,1,3,1508025017,63,2,0,3,8,2,1,1,3
2017-09-26,1960-01-01 17:49:00,1,3,1909067007,23,1,1,1,1,2,2,3,2
2017-09-26,1960-01-01 17:51:00,1,3,1809039019,21,2,0,3,1,2,1,1,2
2017-09-26,1960-01-01 18:11:00,1,3,1306068001,42,2,1,3,2,2,-1,-1,2
2017-09-26,1960-01-01 18:12:00,1,3,2210085007,75,1,0,3,4,4,4,4,3
2017-09-26,1960-01-01 18:15:00,1,3,2210085006,69,1,0,1,4,5,5,5,5
2017-09-26,1960-01-01 18:30:00,1,3,704003002,77,2,1,3,1,1,1,1,1
2017-09-26,1960-01-01 18:36:00,1,3,1909067008,38,2,0,3,7,3,3,3,3
2017-09-26,1960-01-01 18:56:00,1,3,1809039017,30,1,0,1,6,1,1,1,2
2017-09-26,1960-01-01 19:14:00,1,3,1909067009,23,1,0,1,1,2,1,2,3
2017-09-26,1960-01-01 19:31:00,1,3,302038009,21,1,0,3,1,3,3,3,3
2017-09-26,1960-01-01 19:33:00,1,3,2210085014,65,2,1,1,8,1,1,1,3
2017-09-26,1960-01-01 19:57:00,1,3,1306068002,35,1,0,3,2,2,2,2,2
2017-09-27,1960-01-01 12:50:00,1,3,1206049013,32,2,0,3,4,3,2,4,4
2017-09-27,1960-01-01 13:35:00,1,3,1206049014,51,2,0,4,2,4,4,3,3
2017-09-27,1960-01-01 13:59:00,1,3,905002004,56,2,0,1,2,4,3,3,3
2017-09-27,1960-01-01 14:05:00,1,3,1005077001,79,2,0,2,8,2,3,3,4
2017-09-27,1960-01-01 14:13:00,1,3,1206049015,24,2,0,2,4,4,3,2,3
2017-09-27,1960-01-01 14:18:00,1,3,603082007,18,2,0,1,1,3,1,1,1
2017-09-27,1960-01-01 14:21:00,1,3,1306068004,63,2,0,3,8,2,2,2,3
2017-09-27,1960-01-01 14:40:00,1,3,1508025012,55,2,1,3,5,1,1,1,1
2017-09-27,1960-01-01 14:49:00,1,3,1005077002,20,1,1,2,1,2,2,2,2
2017-09-27,1960-01-01 14:56:00,1,3,2110035007,50,1,1,3,1,2,2,2,4
2017-09-27,1960-01-01 15:01:00,1,3,905002006,62,2,0,3,1,2,2,2,3
2017-09-27,1960-01-01 15:03:00,1,3,603082008,78,2,1,1,2,1,1,1,1
2017-09-27,1960-01-01 15:04:00,1,3,1206049016,21,2,1,3,1,3,2,3,3
2017-09-27,1960-01-01 15:25:00,1,3,1005077004,52,2,0,2,8,4,3,-1,2
2017-09-27,1960-01-01 15:51:00,1,3,1206049017,19,2,1,2,1,1,1,1,3
2017-09-27,1960-01-01 16:00:00,1,3,1508025023,38,2,1,3,6,1,4,4,4
2017-09-27,1960-01-01 16:02:00,1,3,905002007,30,1,0,1,6,2,2,2,2
2017-09-27,1960-01-01 16:05:00,1,3,1306068007,25,2,0,1,4,2,2,2,2
2017-09-27,1960-01-01 16:07:00,1,3,1709001017,45,2,1,3,2,3,2,2,4
2017-09-27,1960-01-01 16:09:00,1,3,2110035013,52,2,0,3,4,5,5,3,2
2017-09-27,1960-01-01 16:35:00,1,3,1005077009,28,2,0,2,6,2,2,2,2
2017-09-27,1960-01-01 16:39:00,1,3,1206049019,41,2,0,3,2,5,5,5,5
2017-09-27,1960-01-01 16:49:00,1,3,905002008,58,2,0,1,6,3,3,3,3
2017-09-27,1960-01-01 16:50:00,1,3,1508025002,33,2,0,3,6,-1,1,1,1
2017-09-27,1960-01-01 16:55:00,1,3,1709001014,34,1,0,1,6,2,2,2,2
2017-09-27,1960-01-01 16:56:00,1,3,603082016,22,2,0,3,1,3,3,3,3
2017-09-27,1960-01-01 16:59:00,1,3,1306068009,31,2,0,3,3,4,1,2,4
2017-09-27,1960-01-01 17:04:00,1,3,2110035014,86,2,0,3,8,2,2,2,2
2017-09-27,1960-01-01 17:41:00,1,3,1206049022,30,1,1,3,4,3,3,3,4
2017-09-27,1960-01-01 17:47:00,1,3,1508025006,48,2,1,3,1,4,3,3,2
2017-09-27,1960-01-01 17:48:00,1,3,905002009,72,2,0,1,8,-1,2,2,2
2017-09-27,1960-01-01 17:57:00,1,3,1005077012,56,1,0,2,2,2,3,3,4
2017-09-27,1960-01-01 18:02:00,1,3,1709021002,95,2,0,1,7,2,1,1,1
2017-09-27,1960-01-01 18:08:00,1,3,1306068010,68,2,0,3,6,3,1,1,1
2017-09-27,1960-01-01 18:32:00,1,3,1206049023,29,2,0,3,6,3,3,3,3
2017-09-27,1960-01-01 18:46:00,1,3,905002005,40,2,0,1,3,2,2,2,3
2017-09-27,1960-01-01 18:52:00,1,3,1508025009,37,2,1,1,1,3,3,3,3
2017-09-27,1960-01-01 19:49:00,1,3,1508025011,24,2,1,1,1,3,3,3,3
2017-09-28,1960-01-01 13:13:00,1,3,1206042003,22,2,0,1,2,2,2,2,2
2017-09-28,1960-01-01 13:14:00,1,3,905002001,25,2,0,3,4,4,3,3,3
2017-09-28,1960-01-01 13:26:00,1,3,1909084001,73,1,0,2,8,3,3,3,2
2017-09-28,1960-01-01 13:27:00,1,3,704003004,46,2,0,3,4,1,3,3,3
2017-09-28,1960-01-01 14:11:00,1,3,1909084003,75,2,0,2,8,2,2,2,2
2017-09-28,1960-01-01 14:12:00,1,3,905002011,64,1,1,3,4,2,2,2,3
2017-09-28,1960-01-01 14:13:00,1,3,907035016,57,1,0,3,3,2,2,2,4
2017-09-28,1960-01-01 14:24:00,1,3,704003005,25,2,0,1,2,3,4,4,4
2017-09-28,1960-01-01 14:28:00,1,3,1206042010,30,1,0,1,2,5,4,4,4
2017-09-28,1960-01-01 14:40:00,1,3,1608037001,62,2,1,1,6,2,2,2,1
2017-09-28,1960-01-01 14:46:00,1,3,907035017,61,2,0,2,4,2,4,4,4
2017-09-28,1960-01-01 14:56:00,1,3,1909084004,38,1,0,2,4,2,2,1,2
2017-09-28,1960-01-01 14:57:00,1,3,905002012,68,1,0,1,2,4,2,2,2
2017-09-28,1960-01-01 15:02:00,1,3,1206042011,22,2,1,3,1,2,4,3,4
2017-09-28,1960-01-01 15:13:00,1,3,603069009,72,2,0,-3,-3,2,2,2,2
2017-09-28,1960-01-01 15:14:00,1,3,704003006,21,2,1,1,1,1,1,3,4
